name,cpu_time_total_ms,cuda_time_total_ms,cpu_time_avg_ms,cuda_time_avg_ms,count,self_cpu_memory_mb
aten::bitwise_and,9.7938569999998,0,0.06995612142857,0.0,140,0.0
aten::__ior__,5.363019000000055,0,0.012051728089887763,0.0,445,0.0
aten::bitwise_or_,5.228609000000277,0,0.011749683146068038,0.0,445,0.0
aten::fill_,4.971143000000197,0,0.03186630128205254,0.0,156,0.0
aten::slice,4.963302000000406,0,0.0007302195086067979,0.0,6797,0.0
aten::bitwise_not,3.8622850000002162,0,0.020877216216217385,0.0,185,0.0
aten::eq,3.850116999999931,0,0.04873565822784723,0.0,79,3.0517578125e-05
aten::full,2.8573770000000533,0,0.0732660769230783,0.0,39,0.0
aten::contiguous,2.662196999999662,0,0.002492693820224402,0.0,1068,0.0
aten::clone,2.653160000002419,0,0.0023988788426784983,0.0,1106,0.0
aten::all,1.783381000000163,0,0.029723016666669384,0.0,60,0.0
aten::as_strided,1.7086639999989348,0,0.00017322222222211422,0.0,9864,0.0
aten::empty_like,1.6852639999990098,0,0.0008253006856018656,0.0,2042,0.00024890899658203125
aten::scalar_tensor,1.5890659999997934,0,0.016382123711338074,0.0,97,0.0
aten::sum,1.5099739999997854,0,0.02516623333332976,0.0,60,0.0
aten::gt,1.4703470000002417,0,0.02450578333333736,0.0,60,3.814697265625e-05
check_game_over,1.1502780000000092,0,0.05751390000000047,0.0,20,-1.52587890625e-05
aten::expand,1.0434529999996194,0,0.0006409416461914124,0.0,1628,0.0
aten::lt,0.9831110000001354,0,0.024577775000003386,0.0,40,1.52587890625e-05
aten::div,0.9451119999999883,0,0.023627799999999706,0.0,40,0.0
aten::empty_strided,0.900720999999061,0,0.0005345525222546356,0.0,1685,0.0034608840942382812
aten::empty,0.890270999999395,0,0.00042678379673988253,0.0,2086,0.0
aten::exponential_,0.845446999999931,0,0.04227234999999655,0.0,20,0.0
aten::select,0.7697679999995526,0,0.0013624212389372612,0.0,565,0.0
aten::__iand__,0.7644899999997251,0,0.004496999999998383,0.0,170,0.0
aten::__and__,0.7526970000006913,0,0.006272475000005761,0.0,120,0.0
aten::bitwise_and_,0.7122090000005337,0,0.004189464705885492,0.0,170,0.0
aten::zero_,0.6746090000006352,0,0.0027647909836091607,0.0,244,0.0
aten::__ixor__,0.6604499999999262,0,0.006671212121211375,0.0,99,0.0
aten::stack,0.6562440000000406,0,0.032812200000002026,0.0,20,0.0
aten::bitwise_xor_,0.6018689999997113,0,0.006079484848481934,0.0,99,0.0
aten::cat,0.5677030000001014,0,0.02838515000000507,0.0,20,0.0
aten::argmax,0.5567860000000837,0,0.027839300000004185,0.0,20,0.0
aten::reshape,0.5418789999992514,0,0.0005674125654442423,0.0,955,0.0
aten::floor_divide,0.48058399999991525,0,0.02402919999999576,0.0,20,0.0
aten::remainder,0.47140099999993984,0,0.02357004999999699,0.0,20,0.0
aten::clamp,0.40665499999982424,0,0.020332749999991212,0.0,20,0.0
aten::view,0.2391200000006902,0,0.0002475362318847725,0.0,966,0.0
aten::resize_,0.2327260000003571,0,0.0005648689320397017,0.0,412,0.0
aten::zeros,0.14579400000009626,0,0.007673368421057699,0.0,19,0.0
aten::unbind,0.14458199999982024,0,0.00253652631578632,0.0,57,0.0
aten::squeeze,0.13295400000003973,0,0.0018212876712334213,0.0,73,0.0
aten::unsqueeze,0.09475100000010571,0,0.001199379746836781,0.0,79,0.0
aten::_reshape_alias,0.0189599999999773,0,0.00019749999999976354,0.0,96,0.0
aten::is_same_size,0.018322999999971216,0,9.904324324308765e-05,0.0,185,0.0
aten::view_as,0.0023740000000107104,0,0.0007913333333369034,0.0,3,0.0
